File Name,AvgIntensity
20190806_JDF_MAK_KSHV_CAY24_R1_t2,146683187
20190806_JDF_MAK_KSHV_CAY24_R2_t2,99633308
20190806_JDF_MAK_KSHV_CAY48_R1_t2,106351547
20190806_JDF_MAK_KSHV_CAY48_R2_t2,102925496
20190806_JDF_MAK_KSHV_CAY72_R1_t2,90079815
20190806_JDF_MAK_KSHV_CAY72_R2_t2,111488916
20190806_JDF_MAK_KSHV_M24_R1_t2,102531179
20190806_JDF_MAK_KSHV_M24_R2_t2,69721717
20190806_JDF_MAK_KSHV_M48_R1_t2,109223546
20190806_JDF_MAK_KSHV_M48_R2_t2,101395990
20190806_JDF_MAK_KSHV_M72_R1_t2,110792810
20190806_JDF_MAK_KSHV_M72_R2_t2,86354744
20190919_HCMV_CAY10602_120hpi_R1_L1,70494608
20190919_HCMV_CAY10602_120hpi_R1_L2,51139788
20190919_HCMV_CAY10602_120hpi_R2_L1,120594737
20190919_HCMV_CAY10602_120hpi_R2_L2,82540906
20190919_HCMV_CAY10602_120hpi_R3_L1,128204879
20190919_HCMV_CAY10602_120hpi_R3_L2,80331316
20190919_HCMV_CAY10602_24hpi_R1_L1,88873332
20190919_HCMV_CAY10602_24hpi_R1_L2,66621020
20190919_HCMV_CAY10602_24hpi_R2_L1,134224717
20190919_HCMV_CAY10602_24hpi_R2_L2,92955423
20190919_HCMV_CAY10602_24hpi_R3_L1,119781947
20190919_HCMV_CAY10602_24hpi_R3_L2,75099476
20190919_HCMV_CAY10602_48hpi_R1_L1,78017016
20190919_HCMV_CAY10602_48hpi_R1_L2,55111751
20190919_HCMV_CAY10602_48hpi_R2_L1,180604417
20190919_HCMV_CAY10602_48hpi_R2_L2,108498468
20190919_HCMV_CAY10602_48hpi_R3_L1,123379790
20190919_HCMV_CAY10602_48hpi_R3_L2,75903603
20190919_HCMV_CAY10602_72hpi_R1_L1,74849842
20190919_HCMV_CAY10602_72hpi_R1_L2,53539977
20190919_HCMV_CAY10602_72hpi_R2_L1,125579942
20190919_HCMV_CAY10602_72hpi_R2_L2,88820631
20190919_HCMV_CAY10602_72hpi_R3_L1,132228965
20190919_HCMV_CAY10602_72hpi_R3_L2,81346376
20190919_HCMV_CAY10602_96hpi_R1_L1,66673022
20190919_HCMV_CAY10602_96hpi_R1_L2,48082102
