accession,gene name,classification
P10211,gB,gamma-1
P04488,gE,gamma-1
P06487,gI,gamma-1
P10218,NEC2,gamma-1
P10219,SCP,gamma-1
P10202,TRX2,gamma-1
P10205,UL21,gamma-1
P10216,UL32,gamma-1
P10225,UL41,gamma-1
P10226,UL42,gamma-1
P10229,UL45,gamma-1
P10230,UL46,gamma-1
P06492,UL48,gamma-1
P10233,UL49,gamma-1
P06486,US10,gamma-1
P06481,US9,gamma-1
P10209,CVC2,gamma-2
P10228,gC,gamma-2
P04288,gM,gamma-2
P10215,NEC1,gamma-2
P10200,UL16,gamma-2
P10187,UL3,gamma-2
P10220,UL36,gamma-2
P10221,UL37,gamma-2
P10231,UL47,gamma-2
P10235,UL51,gamma-2
P04487,US11,gamma-2
P06485,US2,gamma-2
P32888,UL38,gamma-2
Q69091,gD,gamma-1
