accession,temporality
O43852,host
P06473,DE
P06725,LL
P06726,L
P08318,DE
P08546,DE
P09695,IE
P09700,DE
P09701,DE
P09709,DE
P09710,DE
P09715,IE
P09718,LL
P09719,DE
P09720,DE
P09721,DE
P09722,DE
P09729,DE
P09730,DE
P12824,L
P13200,L
P13202,IE
P16724,DE
P16725,L
P16726,DE
P16727,DE
P16728,LL
P16729,L
P16730,L
P16731,L
P16732,LL
P16733,L
P16734,L
P16735,DE
P16736,DE
P16739,DE
P16749,LL
P16750,L
P16751,DE
P16752,L
P16753,L
P16755,IE
P16760,LL
P16761,L
P16762,DE
P16764,L
P16765,L
P16766,DE
P16767,IE
P16769,DE
P16770,L
P16778,IE
P16779,DE
P16780,LL
P16781,L
P16782,DE
P16783,LL
P16784,LL
P16785,DE
P16786,LL
P16787,DE
P16788,DE
P16789,DE
P16790,DE
P16791,DE
P16792,L
P16793,L
P16794,DE
P16795,L
P16799,L
P16800,L
P16801,DE
P16808,LL
P16809,L
P16810,LL
P16812,DE
P16823,DE
P16824,LL
P16827,DE
P16832,L
P16837,DE
P16845,L
P16848,L
P17146,DE
P17147,DE
P17149,LL
P17151,DE
P19893,IE
P69334,DE
P69338,LL
Q71U36,normalization
Q7M6N6,L
Q9Y4I1,normalization
