accession,temporality
P90495,DE
P90489,DE
Q2HR82,IE
F5HDE4,IE
F5HCV3,IE
P35579,normalization
P90463,DE
F5HB39,L
Q2HRB3,L
Q2HRD3,DE
Q2HR78,DE
F5HB81,L
F5HAK9,L
F5HDB7,L
F5HDD0,L
Q2HR89,DE
P0C788,DE
Q2HRC7,DE
F5HB98,L
Q2HRA7,L
F5H982,DE
F5HA27,DE
Q98157,DE
Q2HRC9,DE
Q2HRC8,DE
F5HGJ3,IE
Q2HRB6,DE
Q2HRC6,DE
Q2HRB2,L
F5HIM6,L
F5HFD2,L
F5HDY6,L
F5HI25,L
F5HEF2,L
Q2HR98,L
F5HCD4,L
F5HGH5,DE
Q2HR95,DE
F5HHY1,L
Q2HRD4,L
Q2HR92,DE
F5HAI6,L
F5HGK9,L
F5HFA1,DE
Q2HR85,IE
Q2HR83,DE
Q2HR80,L
F5H9W9,L
F5HIN0,DE
Q2HR75,IE
F5HID2,DE
F5HEU7,L
Q2HR64,L
F5HG20,DE
F5HF47,L
Q9QR70,L
Q2HRD0,DE
Q2HR67,DE
Q2HR63,L
F5HB62,DE
F5H8Y5,L
F5HGN8,L
Q71U36,normalization
F5HF68,DE
