accession,gene name,temporal class,# peptides,virion classification*,alias
O43852,CALU,host,2,,
P16799,CVC1,L,2,capsid,UL93
P16726,CVC2,DE,3,capsid,UL77
P17147,DBP,DE,3,non-structural,UL57
P16824,DUT,LL,1,tegument,UL72
P06473,gB,DE,3,envelope,UL55
P12824,gH,L,1,envelope,UL75
P16832,gL,L,3,envelope,UL115
P16733,gM,L,3,envelope,UL100
P16795,gN,L,2,envelope,UL73
P16750,GO,L,3,envelope,UL74
P16736,HELI,DE,2,non-structural,UL105
P09710,IR01,DE,2,non-structural,
P16808,IR10,LL,2,envelope,TRL10
P16809,IR11,L,3,envelope,gp34
P16810,IR12,LL,3,non-structural,TRL12
P09715,IRS1,IE,3,tegument,
P16729,MCP,L,2,capsid,UL86
Q9Y4I1,MYO5A,normalization,1,,
P16794,NEC1,DE,2,tegument,UL53
P16791,NEC2,DE,2,tegument,UL50
P16782,RIR1,DE,3,tegument,UL45
Q7M6N6,SCP,L,1,capsid,UL48A
P16724,TRM1,DE,3,non-structural,UL56
P16792,TRM2,L,3,non-structural,UL51
P16732,TRM3,LL,3,non-structural,UL89
P09695,TRS1,IE,2,tegument,
P16783,TRX1,LL,3,capsid,UL46
P16728,TRX2,LL,3,capsid,UL85
Q71U36,TUBA1A,normalization,2,,
P16827,UL102,DE,3,non-structural,
P16734,UL103,L,3,tegument,
P16735,UL104,DE,3,non-structural,
P17151,UL112/UL113,DE,3,non-structural,
P16769,UL114,DE,2,non-structural,
P16770,UL117,L,3,non-structural,
P16739,UL119/UL118,DE,3,non-structural,
P19893,UL122,IE,2,non-structural,IE2
P13202,UL123,IE,3,non-structural,IE1
P16837,UL128,DE,3,non-structural,
P16755,UL13,IE,3,tegument,
P69338,UL132,LL,3,envelope,
P16845,UL22A,L,1,envelope,UL20A
P16760,UL24,LL,2,tegument,
P16761,UL25,L,3,tegument,
P16762,UL26,DE,3,tegument,
P16764,UL29,L,3,tegument,
P16765,UL30,L,1,non-structural,
P16848,UL31,L,2,non-structural,
P08318,UL32,DE,3,capsid,pp150
P16812,UL34,DE,3,non-structural,
P16766,UL35,DE,3,tegument,
P16767,UL36,IE,3,tegument,
P16778,UL37,IE,3,non-structural,vMIA
P16779,UL38,DE,3,tegument,
P17146,UL4,DE,3,envelope,
P16780,UL40,LL,1,non-structural,
P16781,UL43,L,3,tegument,
P16790,UL44,DE,3,non-structural,
P16784,UL47,LL,3,tegument,
P16785,UL48,DE,3,tegument,
P16786,UL49,LL,1,non-structural,
P16793,UL52,L,3,non-structural,
P08546,UL54,DE,3,tegument,
P16749,UL69,LL,3,tegument,
P17149,UL70,LL,3,non-structural,
P16823,UL71,DE,3,tegument,
P16725,UL76,L,3,tegument,
P16751,UL78,DE,1,non-structural,
P16752,UL79,L,2,tegument,
P16753,UL80,L,3,non-structural,APNG
P06726,UL82,L,3,tegument,pp71
P06725,UL83,LL,3,tegument,pp65
P16727,UL84,DE,3,tegument,
P16730,UL87,L,1,non-structural,
P16731,UL88,L,3,tegument,
P16800,UL94,L,3,tegument,
P16801,UL95,DE,2,non-structural,
P16787,UL96,DE,2,tegument,
P16788,UL97,DE,3,tegument,
P16789,UL98,DE,3,non-structural,
P13200,UL99,L,2,tegument,pp28
P09721,US12,DE,3,non-structural,
P09720,US13,DE,1,non-structural,
P09719,US14,DE,1,non-structural,
P09718,US15,LL,1,non-structural,
P69334,US18,DE,1,non-structural,
P09722,US22,DE,3,tegument,
P09701,US23,DE,3,tegument,
P09700,US24,DE,3,tegument,
P09709,US34,DE,1,non-structural,
P09730,US8,DE,1,non-structural,
P09729,US9,DE,3,non-structural,
