accession,gene name,temporal class,# peptides,virion classification*,alias
P90463,70,DE,3,non-structural,
F5HB39,CVC1,L,3,capsid,ORF32
Q2HRB3,CVC2,L,3,capsid,ORF19
Q2HRD3,DBP,DE,3,non-structural,ORF6
Q2HR78,DUT,DE,3,tegument,ORF54
F5HB81,gB,L,2,envelope,ORF8
F5HAK9,gH,L,3,envelope,ORF22
F5HDB7,gL,L,3,envelope,ORF47
F5HDD0,gM,L,3,envelope,ORF39
Q2HR89,HELI,DE,3,non-structural,ORF44
P0C788,K14,DE,2,non-structural,vOX2
Q2HRC7,K2,DE,3,tegument,
P90495,K3,DE,3,tegument,
P90489,K5,DE,3,non-structural,
Q2HR82,K8,IE,3,non-structural,
F5HB98,K8.1,L,3,envelope,
Q2HRA7,MCP,L,3,capsid,ORF25
F5H982,NEC1,DE,3,non-structural,ORF69
F5HA27,NEC2,DE,3,non-structural,ORF67
Q98157,ORF K4,DE,1,non-structural,vMIP-II
Q2HRC9,ORF10,DE,3,non-structural,
Q2HRC8,ORF11,DE,3,tegument,
F5HGJ3,ORF16,IE,2,non-structural,vBCL2
Q2HRB6,ORF17,DE,3,tegument,
Q2HRC6,ORF2,DE,2,non-structural,
Q2HRB2,ORF20,L,1,non-structural,
F5HIM6,ORF23,L,2,tegument,
F5HFD2,ORF24,L,3,tegument,
F5HDY6,ORF27,L,3,envelope,
F5HI25,ORF28,L,1,envelope,
F5HEF2,ORF33,L,3,tegument,
Q2HR98,ORF34,L,2,non-structural,
F5HCD4,ORF35,L,2,tegument,
F5HGH5,ORF36,DE,1,tegument,vPK
Q2HR95,ORF37,DE,3,non-structural,SOX
F5HHY1,ORF38,L,1,tegument,
Q2HRD4,ORF4,L,3,non-structural,KCP
Q2HR92,ORF40,DE,2,non-structural,
F5HAI6,ORF42,L,2,tegument,
F5HGK9,ORF43,L,3,capsid,
F5HDE4,ORF45,IE,3,tegument,
F5HFA1,ORF46,DE,2,non-structural,
Q2HR85,ORF48,IE,1,tegument,
Q2HR83,ORF49,DE,1,non-structural,
F5HCV3,ORF50,IE,3,non-structural,
Q2HR80,ORF52,L,3,tegument,
F5H9W9,ORF55,L,3,tegument,
F5HIN0,ORF56,DE,3,tegument,
Q2HR75,ORF57,IE,3,non-structural,
F5HID2,ORF59,DE,3,non-structural,
F5HEU7,ORF63,L,1,tegument,
Q2HR64,ORF64,L,3,tegument,
F5HG20,ORF66,DE,2,non-structural,
F5HF47,ORF68,L,3,envelope,
Q9QR70,ORF75,L,3,tegument,
Q2HRD0,ORF9,DE,3,tegument,
Q2HR67,RIR1,DE,3,non-structural,ORF61
Q2HR63,SCP,L,2,capsid,ORF65
F5HB62,TK,DE,3,tegument,ORF21
F5H8Y5,TRX1,L,1,capsid,ORF62
F5HGN8,TRX2,L,2,capsid,ORF26
Q71U36,TUBA1A,normalization,3,,
F5HF68,vIRF-1,DE,1,tegument,
